"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-07-08,"ARI","Gila",FALSE,FALSE,12,54018
2020-07-09,"ARI","Gila",FALSE,FALSE,12,54018
2020-07-10,"ARI","Gila",FALSE,FALSE,39,54018
2020-07-11,"ARI","Gila",FALSE,FALSE,15,54018
2020-07-12,"ARI","Gila",FALSE,FALSE,6,54018
2020-07-13,"ARI","Gila",FALSE,FALSE,1,54018
2020-07-14,"ARI","Gila",FALSE,FALSE,22,54018
2020-07-15,"ARI","Gila",FALSE,FALSE,11,54018
2020-07-16,"ARI","Gila",FALSE,FALSE,3,54018
2020-07-17,"ARI","Gila",FALSE,FALSE,30,54018
2020-07-18,"ARI","Gila",FALSE,FALSE,39,54018
2020-07-19,"ARI","Gila",FALSE,FALSE,19,54018
2020-07-20,"ARI","Gila",FALSE,FALSE,3,54018
2020-07-21,"ARI","Gila",FALSE,FALSE,23,54018
2020-07-22,"ARI","Gila",FALSE,FALSE,4,54018
2020-07-23,"ARI","Gila",FALSE,FALSE,22,54018
2020-07-24,"ARI","Gila",FALSE,FALSE,22,54018
2020-07-25,"ARI","Gila",FALSE,FALSE,42,54018
2020-07-26,"ARI","Gila",FALSE,FALSE,28,54018
2020-07-27,"ARI","Gila",FALSE,FALSE,0,54018
2020-07-28,"ARI","Gila",FALSE,FALSE,21,54018
2020-07-29,"ARI","Gila",FALSE,FALSE,6,54018
2020-07-30,"ARI","Gila",FALSE,FALSE,48,54018
2020-07-31,"ARI","Gila",FALSE,FALSE,31,54018
2020-08-01,"ARI","Gila",FALSE,FALSE,13,54018
2020-08-02,"ARI","Gila",FALSE,FALSE,11,54018
2020-08-03,"ARI","Gila",FALSE,FALSE,8,54018
2020-08-04,"ARI","Gila",FALSE,FALSE,5,54018
2020-08-05,"ARI","Gila",FALSE,FALSE,25,54018
2020-08-06,"ARI","Gila",FALSE,FALSE,13,54018
2020-08-07,"ARI","Gila",FALSE,FALSE,3,54018
2020-08-08,"ARI","Gila",FALSE,FALSE,18,54018
2020-08-09,"ARI","Gila",FALSE,FALSE,7,54018
2020-08-10,"ARI","Gila",FALSE,FALSE,4,54018
2020-08-11,"ARI","Gila",FALSE,FALSE,34,54018
2020-08-12,"ARI","Gila",FALSE,FALSE,26,54018
2020-08-13,"ARI","Gila",FALSE,FALSE,2,54018
2020-08-14,"ARI","Gila",FALSE,FALSE,4,54018
2020-08-15,"ARI","Gila",FALSE,FALSE,16,54018
2020-08-16,"ARI","Gila",FALSE,FALSE,4,54018
