"observationDay","team","testedToday"
"2020-09-02","ATL",TRUE
"2020-09-03","ATL",TRUE
"2020-09-04","ATL",TRUE
"2020-09-05","ATL",TRUE
"2020-09-06","ATL",TRUE
"2020-09-07","ATL",TRUE
"2020-09-08","ATL",TRUE
"2020-09-09","ATL",TRUE
"2020-09-10","ATL",TRUE
"2020-09-11","ATL",TRUE
"2020-09-12","ATL",TRUE
"2020-09-13","ATL",FALSE
"2020-09-14","ATL",TRUE
"2020-09-15","ATL",TRUE
"2020-09-16","ATL",TRUE
"2020-09-17","ATL",TRUE
"2020-09-18","ATL",TRUE
"2020-09-19","ATL",TRUE
"2020-09-20","ATL",FALSE
"2020-09-21","ATL",TRUE
"2020-09-22","ATL",TRUE
"2020-09-23","ATL",TRUE
"2020-09-24","ATL",TRUE
"2020-09-25","ATL",TRUE
"2020-09-26","ATL",TRUE
"2020-09-27","ATL",FALSE
"2020-09-28","ATL",TRUE
"2020-09-29","ATL",TRUE
"2020-09-30","ATL",TRUE
"2020-10-01","ATL",TRUE
"2020-10-02","ATL",TRUE
"2020-10-03","ATL",TRUE
"2020-10-04","ATL",TRUE
"2020-10-05","ATL",FALSE
"2020-10-06","ATL",TRUE
"2020-10-07","ATL",TRUE
"2020-10-08","ATL",TRUE
"2020-10-09","ATL",TRUE
"2020-10-10","ATL",TRUE
"2020-10-11","ATL",FALSE
"2020-10-12","ATL",TRUE
"2020-10-13","ATL",TRUE
"2020-10-14","ATL",TRUE
"2020-10-15","ATL",TRUE
"2020-10-16","ATL",TRUE
"2020-10-17","ATL",TRUE
"2020-10-18","ATL",TRUE
"2020-10-19","ATL",TRUE
"2020-10-20","ATL",TRUE
"2020-10-21","ATL",TRUE
"2020-10-22","ATL",TRUE
"2020-10-23","ATL",TRUE
"2020-10-24","ATL",TRUE
"2020-10-25","ATL",TRUE
"2020-10-26","ATL",TRUE
"2020-10-27","ATL",TRUE
"2020-10-28","ATL",TRUE
"2020-10-29","ATL",TRUE
"2020-10-30","ATL",TRUE
"2020-10-31","ATL",TRUE
"2020-11-01","ATL",TRUE
"2020-11-02","ATL",TRUE
"2020-11-03","ATL",TRUE
"2020-11-04","ATL",TRUE
"2020-11-05","ATL",TRUE
"2020-11-06","ATL",TRUE
"2020-11-07","ATL",TRUE
"2020-11-08","ATL",TRUE
"2020-11-09","ATL",TRUE
"2020-11-10","ATL",TRUE
"2020-11-11","ATL",TRUE
"2020-11-12","ATL",TRUE
"2020-11-13","ATL",TRUE
"2020-11-14","ATL",TRUE
"2020-11-15","ATL",TRUE
"2020-11-16","ATL",TRUE
"2020-11-17","ATL",TRUE
"2020-11-18","ATL",TRUE
"2020-11-19","ATL",TRUE
"2020-11-20","ATL",TRUE
"2020-11-21","ATL",TRUE
"2020-11-22","ATL",TRUE
"2020-11-23","ATL",TRUE
"2020-11-24","ATL",TRUE
"2020-11-25","ATL",TRUE
"2020-11-26","ATL",TRUE
"2020-11-27","ATL",TRUE
"2020-11-28","ATL",TRUE
"2020-11-29","ATL",TRUE
"2020-11-30","ATL",TRUE
"2020-12-01","ATL",TRUE
"2020-12-02","ATL",TRUE
"2020-12-03","ATL",TRUE
"2020-12-04","ATL",TRUE
"2020-12-05","ATL",TRUE
"2020-12-06","ATL",TRUE
"2020-12-07","ATL",TRUE
"2020-12-08","ATL",TRUE
"2020-12-09","ATL",TRUE
"2020-12-10","ATL",TRUE
"2020-12-11","ATL",TRUE
"2020-12-12","ATL",TRUE
"2020-12-13","ATL",TRUE
"2020-12-14","ATL",TRUE
"2020-12-15","ATL",TRUE
"2020-12-16","ATL",TRUE
"2020-12-17","ATL",TRUE
"2020-12-18","ATL",TRUE
"2020-12-19","ATL",TRUE
"2020-12-20","ATL",TRUE
"2020-12-21","ATL",TRUE
"2020-12-22","ATL",TRUE
"2020-12-23","ATL",TRUE
"2020-12-24","ATL",TRUE
"2020-12-25","ATL",TRUE
"2020-12-26","ATL",TRUE
"2020-12-27","ATL",TRUE
"2020-12-28","ATL",TRUE
"2020-12-29","ATL",TRUE
"2020-12-30","ATL",TRUE
"2020-12-31","ATL",TRUE
"2021-01-01","ATL",TRUE
"2021-01-02","ATL",TRUE
"2020-08-01","BAL",TRUE
"2020-08-02","BAL",TRUE
"2020-08-03","BAL",TRUE
"2020-08-04","BAL",TRUE
"2020-08-05","BAL",TRUE
"2020-08-06","BAL",TRUE
"2020-08-07","BAL",TRUE
"2020-08-08","BAL",TRUE
"2020-08-09","BAL",TRUE
"2020-08-10","BAL",TRUE
"2020-08-11","BAL",TRUE
"2020-08-12","BAL",TRUE
"2020-08-13","BAL",TRUE
"2020-08-14","BAL",TRUE
"2020-08-15","BAL",TRUE
"2020-08-16","BAL",TRUE
"2020-08-17","BAL",TRUE
"2020-08-18","BAL",TRUE
"2020-08-19","BAL",TRUE
"2020-08-20","BAL",TRUE
"2020-08-21","BAL",TRUE
"2020-08-22","BAL",TRUE
"2020-08-23","BAL",TRUE
"2020-08-24","BAL",TRUE
"2020-08-25","BAL",TRUE
"2020-08-26","BAL",TRUE
"2020-08-27","BAL",TRUE
"2020-08-28","BAL",TRUE
"2020-08-29","BAL",TRUE
"2020-08-30","BAL",TRUE
"2020-08-31","BAL",TRUE
"2020-09-01","BAL",TRUE
"2020-09-02","BAL",TRUE
"2020-09-03","BAL",TRUE
"2020-09-04","BAL",TRUE
"2020-09-05","BAL",TRUE
"2020-09-06","BAL",TRUE
"2020-09-07","BAL",TRUE
"2020-09-08","BAL",TRUE
"2020-09-09","BAL",TRUE
"2020-09-10","BAL",TRUE
"2020-09-11","BAL",TRUE
"2020-09-12","BAL",TRUE
"2020-09-13","BAL",FALSE
"2020-09-14","BAL",TRUE
"2020-09-15","BAL",TRUE
"2020-09-16","BAL",TRUE
"2020-09-17","BAL",TRUE
"2020-09-18","BAL",TRUE
"2020-09-19","BAL",TRUE
"2020-09-20","BAL",FALSE
"2020-09-21","BAL",TRUE
"2020-09-22","BAL",TRUE
"2020-09-23","BAL",TRUE
"2020-09-24","BAL",TRUE
"2020-09-25","BAL",TRUE
"2020-09-26","BAL",TRUE
"2020-09-27","BAL",TRUE
"2020-09-28","BAL",FALSE
"2020-09-29","BAL",TRUE
"2020-09-30","BAL",TRUE
"2020-10-01","BAL",TRUE
"2020-10-02","BAL",TRUE
"2020-10-03","BAL",TRUE
"2020-10-04","BAL",FALSE
"2020-10-05","BAL",TRUE
"2020-10-06","BAL",TRUE
"2020-10-07","BAL",TRUE
"2020-10-08","BAL",TRUE
